Designator,Mid X,Mid Y,Rotation,Layer
C1,135.475,-76.7,180.0,top
C10,159.688549,-97.8925,270.0,top
C11,151.288549,-92.0425,90.0,top
C12,153.738549,-96.6425,270.0,top
C13,181.075,-78.3,0.0,top
C14,145.2,-103.75,270.0,top
C15,150.9,-103.425,90.0,top
C16,150.2625,-118.1625,0.0,top
C17,143.45,-122.0,270.0,top
C18,141.45,-108.225,0.0,top
C19,152.875,-129.725,0.0,top
C2,156.4,-70.025,270.0,top
C20,144.875,-129.6875,270.0,top
C21,141.775,-129.175,270.0,top
C22,117.5,-124.25,180.0,top
C23,123.0375,-124.225,0.0,top
C24,123.0375,-121.325,0.0,top
C25,115.5,-105.025,270.0,top
C26,121.75,-105.0,270.0,top
C27,118.5,-105.025,270.0,top
C28,124.1125,-116.525,90.0,top
C29,112.175,-114.4125,180.0,top
C3,133.25,-66.3,90.0,top
C30,126.5,-109.725,90.0,top
C31,122.75,-110.25,90.0,top
C32,118.5,-110.25,270.0,top
C33,167.1,-129.725,180.0,top
C34,167.1,-132.675,180.0,top
C35,180.9,-136.7125,90.0,top
C36,177.775,-136.7125,90.0,top
C37,174.675,-136.7375,90.0,top
C38,165.9125,-124.075,0.0,top
C39,165.9125,-121.575,0.0,top
C4,170.5,-89.3,0.0,top
C40,183.225,-121.3875,270.0,top
C41,179.975,-121.3875,270.0,top
C42,182.7875,-130.65,270.0,top
C43,179.5625,-130.65,270.0,top
C44,180.337501,-109.1178,180.0,top
C45,174.162501,-109.1928,0.0,top
C46,121.05,-78.95,90.0,top
C47,122.6,-83.3,0.0,top
C48,115.625,-77.3125,90.0,top
C49,111.075,-76.55,270.0,top
C5,181.0,-81.5,180.0,top
C50,112.2,-141.8,0.0,top
C51,113.7,-138.3,180.0,top
C52,167.1,-135.6,0.0,top
C53,124.25,-131.275,90.0,top
C54,122.2625,-97.5,0.0,top
C55,115.0,-96.0,270.0,top
C56,127.6375,-97.5,0.0,top
C6,180.925,-91.575,0.0,top
C7,174.7375,-92.0625,90.0,top
C8,176.4,-96.875,0.0,top
C9,157.65,-90.7125,90.0,top
D1,120.45,-100.5,0.0,top
D2,122.5,-137.75,180.0,top
D3,168.775,-150.0,90.0,top
FB1,118.175,-79.225,90.0,top
IC1,131.712,-81.915,0.0,top
IC2,134.2,-71.05,90.0,top
IC3,181.25,-74.375,180.0,top
IC4,149.6,-133.375,0.0,top
IC5,147.85,-110.925,90.0,top
IC6,112.4,-121.375,0.0,top
IC7,111.8,-109.7,270.0,top
IC8,117.5875,-115.6625,90.0,top
J1,121.575,-63.335,0.0,top
J2,145.98,-151.77,90.0,top
J3,170.425,-63.335,0.0,top
J5,146.0,-63.335,0.0,top
J7,107.7,-93.285,270.0,top
JP1,117.285,-147.375,270.0,top
JP2,111.735,-83.65,270.0,top
R1,142.45,-71.5,180.0,top
R10,148.275,-120.6875,0.0,top
R11,144.375,-118.0875,0.0,top
R12,143.475,-115.15,270.0,top
R13,141.375,-112.0,180.0,top
R14,148.5,-103.525,270.0,top
R15,148.275,-123.9125,180.0,top
R16,154.9,-135.275,270.0,top
R17,141.0,-133.7,180.0,top
R18,144.925,-136.825,270.0,top
R19,112.3125,-117.525,0.0,top
R2,180.925,-94.3,0.0,top
R20,111.825,-105.65,0.0,top
R21,118.5625,-120.45,90.0,top
R22,171.55,-136.725,90.0,top
R23,173.8,-132.475,180.0,top
R24,181.6375,-125.575,180.0,top
R25,155.05,-111.1,270.0,top
R26,167.625,-114.875,180.0,top
R27,167.4,-108.525,180.0,top
R28,167.425,-111.65,180.0,top
R29,125.7,-100.5,180.0,top
R3,177.3375,-92.0875,90.0,top
R30,121.0,-141.5,90.0,top
R31,167.85,-145.6,0.0,top
R4,176.425,-99.55,0.0,top
R5,160.25,-90.75,90.0,top
R6,157.113549,-97.8425,270.0,top
R7,153.888549,-92.055,90.0,top
R8,151.088549,-96.6425,270.0,top
R9,181.275,-67.775,270.0,top
U1,155.375,-75.6,0.0,top
U2,170.75,-78.75,0.0,top
U3,172.675,-123.85,90.0,top
U4,141.4,-86.5,0.0,top
U5,167.2849,-96.225,0.0,top
U6,114.25,-131.8875,0.0,top
U7,124.3625,-91.75,180.0,top
X1,177.250001,-113.5428,180.0,top
